date,ensemble
2023-05-10,1043059.0513549208
2023-05-11,1038718.2906508802
2023-05-12,1041329.823770082
2023-05-15,1039010.4199710249
2023-05-16,1023972.4031634688
2023-05-17,1034370.7925067304
2023-05-18,1034201.4258723616
2023-05-19,1033835.2790065168
2023-05-22,1029317.860858476
2023-05-23,1028274.4137740491
2023-05-24,1026587.5051646588
2023-05-25,1020299.7332263348
2023-05-26,1027778.6194110272
2023-05-30,1024234.5942988752
2023-05-31,1027199.3687434552
2023-06-01,1038607.3435473798
2023-06-02,1062646.7876220106
2023-06-05,1058045.494016206
2023-06-06,1052109.9898124095
2023-06-07,1054483.9821372388
2023-06-08,1064122.0858912824
2023-06-09,1068973.528285539
2023-06-12,1070962.4075503706
2023-06-13,1076640.2182460187
2023-06-14,1049460.477756059
2023-06-15,1062343.8052096723
2023-06-16,1051607.0887599348
2023-06-20,1052514.102881944
2023-06-21,1059583.4891658186
2023-06-22,1058306.4334330915
2023-06-23,1051511.211299455
2023-06-26,1055602.1276736616
2023-06-27,1061285.0992389082
2023-06-28,1058486.2715411542
2023-06-29,1063843.0814090131
2023-06-30,1075145.1366343854
2023-07-03,1073315.4677920698
2023-07-05,1066715.786323106
2023-07-06,1055625.579532182
2023-07-07,1047453.847224748
2023-07-10,1054239.4008254616
2023-07-11,1060053.2720974304
2023-07-12,1053565.578636539
2023-07-13,1048290.6678462632
2023-07-14,1070319.9363496965
2023-07-17,1075891.9470912488
2023-07-18,1093004.7904752537
2023-07-19,1095906.0950917238
2023-07-20,1099437.2640543513
2023-07-21,1101061.3751508477
2023-07-24,1109924.1674739793
2023-07-25,1114072.8170517497
2023-07-26,1115041.993927034
2023-07-27,1108685.3629379591
2023-07-28,1113449.0265086282
2023-07-31,1121817.911630876
2023-08-01,1126401.8459189008
2023-08-02,1115786.4415534376
2023-08-03,1113434.9107421278
2023-08-04,1104246.7390729005
2023-08-07,1115859.182199487
2023-08-08,1111819.0667057126
2023-08-09,1107490.325533563
2023-08-10,1109542.7726586794
2023-08-11,1115885.4078751977
2023-08-14,1118584.304094968
2023-08-15,1105162.982535825
2023-08-16,1100398.9680711569
2023-08-17,1087489.4241868262
2023-08-18,1095545.0500108008
2023-08-21,1097442.9748917825
2023-08-22,1093936.4617075704
2023-08-23,1098811.317424352
2023-08-24,1083802.9420402425
2023-08-25,1092368.2683418172
2023-08-28,1099068.3201007207
2023-08-29,1107651.9747790657
2023-08-30,1112493.2711734136
2023-08-31,1105586.4341906866
2023-09-01,1109389.5289210638
2023-09-05,1114123.182074712
2023-09-06,1106606.668233026
2023-09-07,1107553.0270968566
2023-09-08,1108410.7494882063
2023-09-11,1107677.3377889113
2023-09-12,1105662.718077432
2023-09-13,1104734.8108996823
2023-09-14,1111855.5073832944
2023-09-15,1106468.8396396115
2023-09-18,1106137.1201152415
2023-09-19,1102783.9769606965
2023-09-20,1101409.3834357637
2023-09-21,1098066.0778344837
2023-09-22,1101451.093150493
2023-09-25,1109024.8705972398
2023-09-26,1096994.011283275
2023-09-27,1097662.352450725
2023-09-28,1101920.1615556444
2023-09-29,1095079.4968522752
2023-10-02,1103440.7713360705
2023-10-03,1094048.6596885046
2023-10-04,1097184.0317893347
